# x_m, y_m, w_tr_right_m, w_tr_left_m
-10.098340270970699,12.8568913307086,1.1,1.1
-9.936898037263397,12.8528328405203,1.1,1.1
-9.776957049308997,12.8482154804353,1.1,1.1
-9.6139537277875,12.8634321590753,1.1,1.1
-9.455783955445497,12.8610815405906,1.1,1.1
-9.298761081720897,12.8576772409206,1.1,1.1
-9.142888050350898,12.8545383018468,1.1,1.1
-8.987709651525098,12.8521945523874,1.1,1.1
-8.818216971435898,12.8426242805287,1.1,1.1
-8.662355530851197,12.8373095683826,1.1,1.1
-8.507010732359397,12.8322523118848,1.1,1.1
-8.352083222145097,12.8274783497477,1.1,1.1
-8.197430906781097,12.8224825004932,1.1,1.1
-8.042992513282698,12.8165483382406,1.1,1.1
-7.883305686139899,12.8263501699551,1.1,1.1
-7.7279992921335,12.822253078305,1.1,1.1
-7.5724758587122984,12.8173579264352,1.1,1.1
-7.416971818042299,12.8121709509266,1.1,1.1
-7.256003399869098,12.8099043727974,1.1,1.1
-7.0991128526009,12.8055808288049,1.1,1.1
-6.9428720992018,12.8007723920282,1.1,1.1
-6.787330942388397,12.7947715752546,1.1,1.1
-6.632295155956797,12.7884097793831,1.1,1.1
-6.466121744980299,12.7930278771559,1.1,1.1
-6.310202313239099,12.7889328209381,1.1,1.1
-6.154572462597297,12.784509427336,1.1,1.1
-5.999130276240798,12.7790536748499,1.1,1.1
-5.843916824252197,12.7736485122093,1.1,1.1
-5.680771704143197,12.7749281286829,1.1,1.1
-5.525801315654899,12.7686398046982,1.1,1.1
-5.371585854616299,12.7625417742697,1.1,1.1
-5.217887058183898,12.7562272831459,1.1,1.1
-5.0653674382087,12.7491439438916,1.1,1.1
-4.905381251698998,12.7464861774892,1.1,1.1
-4.752826927987098,12.7384842184543,1.1,1.1
-4.6009477232485985,12.7302894956719,1.1,1.1
-4.4501473923074,12.7210117010156,1.1,1.1
-4.3009171770073,12.7104260990425,1.1,1.1
-4.1424355574027985,12.7104693222687,1.1,1.1
-3.9927354587920973,12.6991182366038,1.1,1.1
-3.843131254635999,12.6866834471263,1.1,1.1
-3.693712639943598,12.6730431010698,1.1,1.1
-3.5444082863669983,12.6581893214246,1.1,1.1
-3.395152510984097,12.6417279609457,1.1,1.1
-3.2429915547959993,12.6331097919998,1.1,1.1
-3.0934422667596984,12.6126422236161,1.1,1.1
-2.9434494648455996,12.5910975445611,1.1,1.1
-2.7934603577327977,12.5670124668453,1.1,1.1
-2.643618007820198,12.5403959919903,1.1,1.1
-2.4751587959733,12.5105984292535,1.1,1.1
-2.323150288530897,12.4776599033939,1.1,1.1
-2.1716874430583992,12.4423960976051,1.1,1.1
-2.0210915325798986,12.4035608387405,1.1,1.1
-1.8713463778487984,12.3622029112223,1.1,1.1
-1.7096756565763975,12.3255039445783,1.1,1.1
-1.5601395310957002,12.2787496740183,1.1,1.1
-1.4119521533803976,12.228296629946,1.1,1.1
-1.2647559380299,12.174526724737,1.1,1.1
-1.118822745878898,12.1173945319905,1.1,1.1
-0.9572552318402998,12.0594338367753,1.1,1.1
-0.8115073469531993,11.9950745502815,1.1,1.1
-0.6664076200506983,11.92677124588,1.1,1.1
-0.5227071878812986,11.8542512112536,1.1,1.1
-0.3802355326960978,11.7989711399809,1.1,1.1
-0.23831072391949704,11.7212373617018,1.1,1.1
-0.0972056070772993,11.6396398226635,1.1,1.1
0.04198497540109969,11.5539396588422,1.1,1.1
0.17964835667290302,11.4642441399639,1.1,1.1
0.34226395021419975,11.370951452717,1.1,1.1
0.47848720213100293,11.2738334098697,1.1,1.1
0.6121671520293006,11.1730371876812,1.1,1.1
